"country","subject","resp","cat","condition","site"
"Belgium",468,2,-0.5,"body",1
"Belgium",468,3,0.5,"mind",1
"Belgium",473,1,-0.5,"body",1
"Belgium",473,3,0.5,"mind",1
"Belgium",475,2,-0.5,"body",1
"Belgium",475,2,0.5,"mind",1
"Belgium",478,0,-0.5,"body",1
"Belgium",478,0,0.5,"mind",1
"Belgium",479,0,-0.5,"body",1
"Belgium",479,0,0.5,"mind",1
"Belgium",481,0,-0.5,"body",1
"Belgium",481,1,0.5,"mind",1
"Belgium",482,0,-0.5,"body",1
"Belgium",482,1,0.5,"mind",1
"Belgium",486,1,-0.5,"body",1
"Belgium",486,3,0.5,"mind",1
"Belgium",500,0,-0.5,"body",1
"Belgium",500,0,0.5,"mind",1
"Belgium",501,0,-0.5,"body",1
"Belgium",501,0,0.5,"mind",1
"Belgium",504,0,-0.5,"body",1
"Belgium",504,2,0.5,"mind",1
"Belgium",512,0,-0.5,"body",1
"Belgium",512,1,0.5,"mind",1
"Belgium",515,0,-0.5,"body",1
"Belgium",515,1,0.5,"mind",1
"Belgium",534,0,-0.5,"body",1
"Belgium",534,0,0.5,"mind",1
"Belgium",537,1,-0.5,"body",1
"Belgium",537,3,0.5,"mind",1
"Belgium",541,0,-0.5,"body",1
"Belgium",541,0,0.5,"mind",1
"Belgium",550,1,-0.5,"body",1
"Belgium",550,3,0.5,"mind",1
"Belgium",559,0,-0.5,"body",1
"Belgium",559,2,0.5,"mind",1
"Belgium",567,0,-0.5,"body",1
"Belgium",567,1,0.5,"mind",1
"Belgium",573,0,-0.5,"body",1
"Belgium",573,1,0.5,"mind",1
"Belgium",580,0,-0.5,"body",1
"Belgium",580,1,0.5,"mind",1
"Belgium",590,0,-0.5,"body",1
"Belgium",590,1,0.5,"mind",1
"Belgium",599,0,-0.5,"body",1
"Belgium",599,2,0.5,"mind",1
"Belgium",603,0,-0.5,"body",1
"Belgium",603,0,0.5,"mind",1
"Belgium",605,0,-0.5,"body",1
"Belgium",605,1,0.5,"mind",1
"Belgium",611,0,-0.5,"body",1
"Belgium",611,0,0.5,"mind",1
"Belgium",617,0,-0.5,"body",1
"Belgium",617,0,0.5,"mind",1
"Belgium",621,0,-0.5,"body",1
"Belgium",621,1,0.5,"mind",1
"Belgium",623,0,-0.5,"body",1
"Belgium",623,0,0.5,"mind",1
"Belgium",627,1,-0.5,"body",1
"Belgium",627,2,0.5,"mind",1
"Belgium",633,0,-0.5,"body",1
"Belgium",633,0,0.5,"mind",1
"Belgium",638,0,-0.5,"body",1
"Belgium",638,0,0.5,"mind",1
"Belgium",642,0,-0.5,"body",1
"Belgium",642,0,0.5,"mind",1
