"","id","trialnr","trialtype","loglt"
"1",1,1,1,3.44839710345777
"2",1,2,0,3.53237213356788
"3",1,3,1,3.61573968861916
"4",1,4,1,3.44138088491651
"5",1,5,0,3.5081255360832
"6",1,6,1,4.15812115033749
"7",1,7,1,3.65176244738011
"8",1,8,0,4.2520759437998
"9",1,9,1,4.03277987919124
"10",1,10,1,4.20782279900151
"11",1,11,1,3.57818060962778
"12",1,12,0,4.11417714024445
"13",2,1,1,3.52853106063541
"14",2,2,0,3.58489634413745
"15",2,3,1,3.39252108993193
"16",2,4,1,3.58478337899651
"17",2,5,0,3.41077723337721
"18",2,6,1,3.878751520173
"19",2,7,1,3.73134697554595
"20",2,8,0,3.56655533088305
"21",2,9,1,3.71466499286254
"22",2,10,1,3.61341894503457
"23",2,11,1,3.73703353133388
"24",2,12,0,3.67951874369579
"25",3,1,1,4.09933527768596
"26",3,2,0,3.78333176288742
"27",3,3,1,4.00004342727686
"28",3,4,1,3.92556990954338
"29",3,5,0,3.64483232882564
"30",3,6,1,3.38756777941719
"31",3,7,1,3.68565218411552
"32",3,8,0,3.51851393987789
"33",3,9,1,4.17577265960154
"34",3,10,1,3.90260113066653
"35",3,11,1,3.89597473235906
"36",3,12,0,4.06220580881971
"37",4,1,0,4.10744740952361
"38",4,2,1,4.24306286480481
"39",4,3,1,4.17163870853082
"40",4,4,1,3.816042340922
"41",4,5,0,4.24659704910637
"42",4,6,1,3.69469292633148
"43",4,7,1,4.22980978295254
"44",4,8,0,4.48023697181947
"45",4,9,1,3.83853427051187
"46",4,10,1,3.56631962152481
"47",4,11,1,3.7521253072979
"48",4,12,0,4.08159931273294
"49",5,1,1,4.1814433955419
"50",5,2,0,3.46119828862249
"51",5,3,1,3.80861603542699
"52",5,4,1,3.78247262416629
"53",5,5,0,3.71264970162721
"54",5,6,1,3.62065647981962
"55",5,7,1,3.66426580014768
"56",5,8,0,3.64345267648619
"57",5,9,1,3.34222522936079
"58",5,10,1,3.28645646974698
"59",5,11,1,3.29600666931367
"60",5,12,0,3.87174801899187
"61",6,1,1,3.53794495929149
"62",6,2,0,3.72558497227069
"63",6,3,1,3.81298016603948
"64",6,4,1,4.1026394836913
"65",6,5,0,4.01127432890473
"66",6,6,1,4.15962734065867
"67",6,7,1,4.17851652373358
"68",6,8,0,4.34629428204135
"69",6,9,1,4.02966780267532
"70",6,10,1,4.01770097122412
"71",6,11,1,4.23709111227397
"72",6,12,0,4.03977092693158
"73",7,1,1,3.67200544502295
"74",7,2,0,3.77312792403333
"75",7,3,1,3.76767522402796
"76",7,4,1,3.80726435527611
"77",7,5,0,3.75966784468963
"78",7,6,1,3.97206391600802
"79",7,7,1,4.27323283404305
"80",7,8,0,3.9843022319799
"81",7,9,1,3.94235534970768
"82",7,10,1,3.73134697554595
"83",7,11,1,3.81070286094712
"84",7,12,0,3.68502478510571
"85",8,1,0,4.05556944006099
"86",8,2,1,4.15878451772342
"87",8,3,1,3.58103894877217
"88",8,4,1,3.98815747255675
"89",8,5,0,3.88326385958497
"90",8,6,1,3.85229696582693
"91",8,7,1,3.61225390609644
"92",8,8,0,3.32325210017169
"93",8,9,1,3.3809344633307
"94",8,10,1,3.62479757896076
"95",8,11,1,3.45224657452044
"96",8,12,0,3.38792346697344
"97",9,1,0,3.91301868374796
"98",9,2,1,4.02657411815033
"99",9,3,1,3.74826557266874
"100",9,4,1,4.08145532782257
"101",9,5,0,3.76110053895814
"102",9,6,1,3.24674470972384
"103",9,7,1,3.80807586809131
"104",9,8,0,3.59604700754544
"105",9,9,1,3.63718942214876
"106",9,10,1,3.82885315967664
"107",9,11,1,3.6728364541714
"108",9,12,0,3.8318697742805
"109",10,1,0,3.62900161928699
"110",10,2,1,3.72566666031418
"111",10,3,1,3.95104594813582
"112",10,4,1,3.79504537042112
"113",10,5,0,4.21769446020538
"114",10,6,1,3.85925841746731
"115",10,7,1,3.68975269613916
"116",10,8,0,4.14044518834787
"117",10,9,1,3.63508143601087
"118",10,10,1,3.50542132758328
"119",10,11,1,3.5856862784525
"120",10,12,0,4.03116599966066
"121",11,1,1,3.57645653240562
"122",11,2,0,4.11843007712209
"123",11,3,1,3.93343666782628
"124",11,4,1,4.08282126093933
"125",11,5,0,4.57753775449384
"126",11,6,1,3.76745271809777
"127",11,7,1,3.52166101511207
"128",11,8,0,3.93464992290071
"129",11,9,1,4.08055433898877
"130",11,10,1,4.34228447422575
"131",11,11,1,4.02251085043403
"132",11,12,0,4.45086469237977
"133",12,1,1,4.60527271532368
"134",12,2,0,4.16307188200382
"135",12,3,1,3.96950909859657
"136",12,4,1,3.89702195606036
"137",12,5,0,4.0774042463981
"138",12,6,1,4.28291652679515
"139",12,7,1,4.36674038984291
"140",12,8,0,4.35274191502075
"141",12,9,1,4.0321350468799
"142",12,10,1,4.04528385139514
"143",12,11,1,4.19035971626532
"144",12,12,0,4.09624938318961
